"y","m","ym_num","prov","n","n_predicted","excess_mort","ratio"
1399,3,1399.20833333333,"البرز",1152,928.400000000001,223.599999999999,0.194097222222221
1400,3,1400.20833333333,"البرز",1240,974,266,0.214516129032258
1399,4,1399.29166666667,"البرز",1387,844.899999999994,542.100000000006,0.390843547224229
1400,4,1400.29166666667,"البرز",1377,868.799999999988,508.200000000012,0.369063180827895
1401,4,1401.29166666667,"البرز",1204,892.69999999999,311.30000000001,0.258554817275756
1399,5,1399.375,"البرز",1642,970.900000000001,671.099999999999,0.408708891595614
1400,5,1400.375,"البرز",2023,1011.8,1011.2,0.499851705388036
1399,6,1399.45833333333,"البرز",1062,803.2,258.8,0.243691148775894
1400,6,1400.45833333333,"البرز",2173,803.2,1369.8,0.630372756557754
1401,6,1401.45833333333,"البرز",968,803.2,164.8,0.170247933884297
1399,7,1399.54166666667,"البرز",1567,798.4,768.6,0.490491384811742
1400,7,1400.54166666667,"البرز",1589,798.4,790.6,0.497545626179987
1399,8,1399.625,"البرز",2036,899.399999999994,1136.60000000001,0.55825147347741
1399,9,1399.70833333333,"البرز",1469,843.6,625.4,0.42573179033356
1399,10,1399.79166666667,"البرز",1197,905.25,291.75,0.243734335839599
1400,11,1400.875,"البرز",1217,848.2,368.8,0.30304026294166
1399,12,1399.95833333333,"البرز",1190,901.799999999981,288.200000000019,0.242184873949596
1400,12,1400.95833333333,"البرز",1622,934.39999999998,687.60000000002,0.423921085080161
1400,2,1400.125,"ايلام",284,193.6,90.4,0.31830985915493
1399,3,1399.20833333333,"ايلام",235,184.8,50.2,0.213617021276596
1400,3,1400.20833333333,"ايلام",236,184.8,51.2,0.216949152542373
1401,3,1401.20833333333,"ايلام",252,184.8,67.2,0.266666666666667
1399,4,1399.29166666667,"ايلام",309,191,118,0.381877022653722
1399,5,1399.375,"ايلام",330,175.099999999999,154.900000000001,0.469393939393944
1400,5,1400.375,"ايلام",289,168.799999999999,120.200000000001,0.415916955017304
1401,5,1401.375,"ايلام",211,162.5,48.5,0.229857819905213
1399,6,1399.45833333333,"ايلام",231,200.4,30.6,0.132467532467532
1400,6,1400.45833333333,"ايلام",441,200.4,240.6,0.545578231292517
1399,7,1399.54166666667,"ايلام",257,195.8,61.2,0.238132295719844
1400,7,1400.54166666667,"ايلام",309,195.8,113.2,0.366343042071197
1399,8,1399.625,"ايلام",544,193.8,350.2,0.64375
1400,8,1400.625,"ايلام",249,193.8,55.2,0.221686746987952
1399,9,1399.70833333333,"ايلام",409,219.6,189.4,0.463080684596577
1399,12,1399.95833333333,"ايلام",223,132.400000000001,90.5999999999985,0.406278026905823
1400,12,1400.95833333333,"ايلام",335,110.300000000003,224.699999999997,0.670746268656708
1400,1,1400.04166666667,"بوشهر",439,337,102,0.232346241457859
1400,2,1400.125,"بوشهر",645,306,339,0.525581395348837
1401,2,1401.125,"بوشهر",381,306,75,0.196850393700787
1400,3,1400.20833333333,"بوشهر",446,308.2,137.8,0.308968609865471
1399,4,1399.29166666667,"بوشهر",566,312.4,253.6,0.448056537102474
1400,4,1400.29166666667,"بوشهر",432,312.4,119.6,0.276851851851852
1401,4,1401.29166666667,"بوشهر",411,312.4,98.6,0.239902676399027
1399,5,1399.375,"بوشهر",631,320.8,310.2,0.491600633914422
1400,5,1400.375,"بوشهر",721,320.8,400.2,0.555062413314841
1401,5,1401.375,"بوشهر",396,320.8,75.2,0.18989898989899
1399,6,1399.45833333333,"بوشهر",511,340.2,170.8,0.334246575342466
1400,6,1400.45833333333,"بوشهر",860,340.2,519.8,0.604418604651163
1399,8,1399.625,"بوشهر",555,380.699999999997,174.300000000003,0.314054054054059
1399,12,1399.95833333333,"بوشهر",484,359,125,0.258264462809917
1400,12,1400.95833333333,"بوشهر",655,359,296,0.451908396946565
1399,1,1399.04166666667,"تهران",6455,5184.5,1270.5,0.196824167312161
1400,1,1400.04166666667,"تهران",6363,5425.40000000002,937.599999999977,0.147351878044944
1399,2,1399.125,"تهران",5764,4576.2,1187.8,0.206072172102706
1400,2,1400.125,"تهران",9985,4576.2,5408.8,0.541692538808212
1399,4,1399.29166666667,"تهران",6244,4439.8,1804.2,0.288949391415759
1400,4,1400.29166666667,"تهران",6277,4439.8,1837.2,0.292687589612872
1401,4,1401.29166666667,"تهران",5419,4439.8,979.2,0.180697545672633
1399,5,1399.375,"تهران",8016,4650.2,3365.8,0.419885229540918
1400,5,1400.375,"تهران",9777,4650.2,5126.8,0.524373529712591
1399,6,1399.45833333333,"تهران",5913,4466.2,1446.8,0.244681210891257
1400,6,1400.45833333333,"تهران",11779,4466.2,7312.8,0.62083368707021
1401,6,1401.45833333333,"تهران",5462,4466.2,995.8,0.182314170633468
1399,7,1399.54166666667,"تهران",7396,4610.2,2785.8,0.376663061114116
1400,7,1400.54166666667,"تهران",8342,4610.2,3731.8,0.447350755214577
1399,8,1399.625,"تهران",10358,4624.4,5733.6,0.553543155049237
1400,8,1400.625,"تهران",5964,4624.4,1339.6,0.224614352783367
1399,9,1399.70833333333,"تهران",7370,5093.4,2276.6,0.308900949796472
1399,10,1399.79166666667,"تهران",6408,5161.25,1246.75,0.194561485642946
1399,12,1399.95833333333,"تهران",5858,4773.4,1084.6,0.185148514851485
1400,12,1400.95833333333,"تهران",8042,4773.4,3268.6,0.406441183785128
1400,1,1400.04166666667,"چهارمحال و بختياري",399,334.2,64.8,0.162406015037594
1401,1,1401.04166666667,"چهارمحال و بختياري",373,334.2,38.8,0.10402144772118
1400,2,1400.125,"چهارمحال و بختياري",645,361.4,283.6,0.43968992248062
1399,7,1399.54166666667,"چهارمحال و بختياري",483,370.8,112.2,0.232298136645963
1400,7,1400.54166666667,"چهارمحال و بختياري",555,370.8,184.2,0.331891891891892
1399,8,1399.625,"چهارمحال و بختياري",710,218.799999999996,491.200000000004,0.691830985915499
1400,8,1400.625,"چهارمحال و بختياري",448,180.799999999996,267.200000000004,0.596428571428581
1399,9,1399.70833333333,"چهارمحال و بختياري",555,348.2,206.8,0.372612612612613
1399,2,1399.125,"خراسان جنوبي",344,296,48,0.13953488372093
1400,2,1400.125,"خراسان جنوبي",492,296,196,0.398373983739837
1399,4,1399.29166666667,"خراسان جنوبي",414,279.4,134.6,0.32512077294686
1401,4,1401.29166666667,"خراسان جنوبي",376,279.4,96.6,0.256914893617021
1399,5,1399.375,"خراسان جنوبي",400,342.900000000001,57.0999999999985,0.142749999999996
1400,5,1400.375,"خراسان جنوبي",402,353.000000000002,48.9999999999982,0.121890547263677
1400,6,1400.45833333333,"خراسان جنوبي",549,287.8,261.2,0.475774134790528
1399,8,1399.625,"خراسان جنوبي",730,308.4,421.6,0.577534246575342
1400,8,1400.625,"خراسان جنوبي",340,308.4,31.6,0.0929411764705883
1399,9,1399.70833333333,"خراسان جنوبي",558,374.2,183.8,0.329390681003584
1400,12,1400.95833333333,"خراسان جنوبي",540,314.8,225.2,0.417037037037037
1400,2,1400.125,"خراسان رضوي",3992,2425.8,1566.2,0.392334669338677
1399,3,1399.20833333333,"خراسان رضوي",3070,2389.4,680.6,0.221693811074919
1400,3,1400.20833333333,"خراسان رضوي",3157,2389.4,767.6,0.243142223630028
1399,4,1399.29166666667,"خراسان رضوي",3861,2308.4,1552.6,0.402123802123802
1400,4,1400.29166666667,"خراسان رضوي",2813,2308.4,504.6,0.179381443298969
1401,4,1401.29166666667,"خراسان رضوي",2910,2308.4,601.6,0.206735395189003
1399,5,1399.375,"خراسان رضوي",4685,2400.4,2284.6,0.487641408751334
1400,5,1400.375,"خراسان رضوي",4897,2400.4,2496.6,0.509822340208291
1401,5,1401.375,"خراسان رضوي",2937,2400.4,536.6,0.182703438883214
1400,6,1400.45833333333,"خراسان رضوي",7494,2421.8,5072.2,0.676834801174273
1400,7,1400.54166666667,"خراسان رضوي",3737,2454.6,1282.4,0.343162964945143
1399,8,1399.625,"خراسان رضوي",5080,2489,2591,0.51003937007874
1400,8,1400.625,"خراسان رضوي",2793,2489,304,0.108843537414966
1399,9,1399.70833333333,"خراسان رضوي",4133,2794.8,1338.2,0.323784176143237
1399,10,1399.79166666667,"خراسان رضوي",3303,2671,632,0.191341204965183
1400,12,1400.95833333333,"خراسان رضوي",3877,2453.8,1423.2,0.367087954604075
1399,2,1399.125,"خراسان شمالي",443,369,74,0.167042889390519
1400,2,1400.125,"خراسان شمالي",585,369,216,0.369230769230769
1399,3,1399.20833333333,"خراسان شمالي",428,359.4,68.6,0.160280373831776
1400,3,1400.20833333333,"خراسان شمالي",456,359.4,96.6,0.211842105263158
1399,4,1399.29166666667,"خراسان شمالي",512,345.8,166.2,0.324609375
1399,5,1399.375,"خراسان شمالي",619,463,156,0.252019386106624
1399,6,1399.45833333333,"خراسان شمالي",472,358,114,0.241525423728814
1400,6,1400.45833333333,"خراسان شمالي",1099,358,741,0.674249317561419
1400,7,1400.54166666667,"خراسان شمالي",567,356.8,210.2,0.370723104056437
1399,8,1399.625,"خراسان شمالي",625,353.2,271.8,0.43488
1399,10,1399.79166666667,"خراسان شمالي",428,385.5,42.5,0.0992990654205607
1400,12,1400.95833333333,"خراسان شمالي",655,365,290,0.442748091603053
